Title,Year,Barcode,,
300,,,,
2001,,,,
8717418468347,,,,

2012,,,,
127 Hours,2010,,,
17 Again,2009,,,
21 Jump Street,2012,,,
22 Jump Street,2014,,,
300: Rise of an Empire,,,,
48 Hrs.,1982,,,
A Knight's Tale,,,,
"A-Team, The",2010,,,
About a Boy,,,,
The Accountant,2016,,,
Ace Ventura: Den galopperande detektiven,,,,
Ace Ventura: Den galopperande detektiven rider igen,,,,
"Adventures of Tintin, The",,,,
Airplane!,,,,
Alice in Wonderland,,,,
Alice through the Looking Glass,,,,
"Amazing Spider-Man 2, The",,,,
"Amazing Spider-Man, The",,,,
American Gangster,2007,,,
American History X,,,,
American Hustle,,,,
American Sniper,,,,
Anchorman 2: The Legend Continues,2013,,,
Anchorman: The Legend of Ron Burgundy,2004,,,
Angels and Demons,,,,
Ant-Man,2015,,,
Ant-Man and the Wasp,2018,,,
Apollo 13,,,,
Rise of the Planet of the Apes,,,,
Arrival,2016,,,
Artificial Intelligence: A.I,2001,,,
"As Above, So Below",2014,,,
Assassin's Creed,2016,,,
Atomic Blonde,2017,,,
Att ang�ra en brygga,,,,
Austin Powers: Goldmember,,,,
Austin Powers: The Spy Who Shagged Me,,,,
Avatar,,,,
"Avengers, The",,,,
"Avengers: Age of Ultron, The",,,,
Avengers: Endgame,2019,,,
Avengers: Infinity War,2018,,,
Baby Driver,2017,,,
Back to the Future,,,,
Back to the Future 2,,,,
Back to the Future 3,,,,
Bad Boys,,,,
Bandidas,,,,
Barry Lyndon,,,,
Batman begins,,,,
Batman Forever,,,,
Batman VS Superman,,,,
Beauty and the Beast,1991,,,
Beowulf (Directors Cut),,,,
Beverly Hills Cop,,,,
Big,,,,
Big,1988,,,
"Big Lebowski, The",,,,
Big Stan,,,,
Big Trouble in Little China,,,,
"Birds, The",1963,,,
Bj�rn Gustafsson: Ett livsverk,,,,
Black Hawk Down,,,,
Black Panther,2018,,,
Blade Runner,,,,
"Blair Witch Project, The",1999,,,
Blood Diamond,,,,
"Blues Brothers, The",,,,
Body Double,1984,,,
"Boondock Saints, The",,,,
Borat,,,,
Bourne,,,,
"Bourne Identity, The",,,,
"Bourne Ultimatum, The",,,,
Boyhood,2014,,,
Brave,,,,
Bridget Jones's Diary,,,,
Bron �ver Floder Kwai,,,,
Bruce Almighty,,,,
Br�no,,,,
Br�llopsfotografen,,,,
Burn After Reading,,,,
Butch Cassidy and the Sundance Kid,,,,
The Butler,,,,
The Cable Guy,,,,
Caddyshack,,,,
Capricorn One,1977,,,
Captain America: Civil war,,,,
Captain America: The first avenger,,,,
Captain America: The winter soldier,,,,
